订单编号,订单状态,下单时间,发货时间,支付方式,商品型号,商品编码,商品件数,商品金额,优惠金额,实付金额,收货人姓名,收货人地址
81417556235138,已关闭,2021-01-23 14:07:31,2021-01-28 00:39:19,借记卡,哇鸥乐意优享礼盒,2101,3,1335,40,1295,王金凤,江苏省宁德县南长郝路n座 512342
81417556235958,已关闭,2021-01-21 02:47:44,2021-01-22 06:01:10,借记卡,哇鸥心意优享礼盒,2102,1,667,20,647,詹军,贵州省敏县清河林路K座 408998
81417556235456,已完成,2021-01-22 13:39:27,2021-01-30 15:39:44,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,李志强,广西壮族自治区秀云市闵行伊路d座 140669
81417556233284,已完成,2021-01-23 16:02:57,2021-01-24 12:24:40,借记卡,哇鸥心意优享礼盒,2102,2,1334,30,1304,马丹,广东省拉萨市高明成都街D座 272900
81417556236220,已完成,2021-01-28 10:50:07,2021-02-01 11:58:23,借记卡,哇鸥乐意优享礼盒,2101,1,445,40,405,杨桂荣,辽宁省淑珍县南溪长春路X座 727241
81417556234807,已关闭,2021-01-26 19:28:49,2021-02-01 04:40:43,借记卡,哇鸥乐意优享礼盒,2101,4,1780,30,1750,张璐,甘肃省梧州县山亭关岭路f座 682417
81417556231762,已关闭,2021-01-25 19:04:26,2021-01-28 16:56:40,借记卡,哇鸥顺意优享礼盒,2110,2,2236,0,2236,熊瑜,江西省旭县六枝特林街S座 842996
81417556233474,已关闭,2021-01-27 00:28:25,2021-02-01 09:53:31,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,郑莹,江苏省宁德县海陵汕尾路e座 781484
81417556237909,已关闭,2021-01-27 15:01:08,2021-01-29 11:49:55,借记卡,哇鸥心意优享礼盒,2102,3,2001,0,2001,李琳,广西壮族自治区宁市清河宁德街Y座 152552
81417556232896,已关闭,2021-01-23 02:57:27,2021-02-01 14:02:32,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,刘瑜,北京市潜江县魏都兴安盟路P座 223997
81417556234313,已关闭,2021-01-24 13:59:48,2021-01-31 16:42:58,借记卡,哇鸥乐意优享礼盒,2101,3,1335,0,1335,李明,云南省沈阳县锡山刘路n座 649056
81417556233261,已完成,2021-01-23 04:47:55,2021-01-26 07:24:48,借记卡,哇鸥心意优享礼盒,2102,2,1334,30,1304,李建,山西省六安县门头沟吴街s座 972770
81417556237816,已关闭,2021-01-22 00:15:23,2021-01-26 03:13:10,借记卡,哇鸥顺意优享礼盒,2110,2,2236,0,2236,姜帆,山西省嘉禾市长寿贵阳路a座 818632
81417556234822,已完成,2021-01-22 14:18:49,2021-01-29 12:04:51,借记卡,哇鸥乐意优享礼盒,2101,9,4005,20,3985,姬洋,山东省北镇县平山杨街A座 947136
81417556230764,已完成,2021-01-29 06:53:20,2021-01-31 18:59:35,借记卡,哇鸥心意优享礼盒,2102,2,1334,40,1294,周静,山东省杰市龙潭辽阳路H座 665749
81417556236372,已关闭,2021-01-24 14:51:25,2021-01-29 22:09:44,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,刘杰,西藏自治区桂荣县安次吴街U座 244059
81417556234931,已完成,2021-01-31 12:24:14,2021-02-01 15:59:17,借记卡,哇鸥顺意优享礼盒,2110,6,6708,20,6688,郭秀荣,广西壮族自治区成县大兴杨路s座 778487
81417556238178,已关闭,2021-01-27 18:34:51,2021-01-28 05:39:00,借记卡,哇鸥心意优享礼盒,2102,4,2668,20,2648,左凤英,甘肃省婷市静安郜路U座 908852
81417556235105,已完成,2021-01-21 23:48:36,2021-02-01 09:55:01,借记卡,哇鸥顺意优享礼盒,2110,3,3354,0,3354,吴慧,黑龙江省欣县江北漆路R座 442155
81417556231701,已完成,2021-01-21 16:18:35,2021-01-27 13:05:23,借记卡,哇鸥乐意优享礼盒,2101,1,445,20,425,林琳,四川省晨市萧山永安路M座 729474
81417556231948,已完成,2021-01-23 04:29:30,2021-01-29 06:07:37,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,芦波,湖南省帆市大东南京路I座 897314
81417556239209,已完成,2021-01-31 23:25:34,2021-02-01 12:06:19,借记卡,哇鸥顺意优享礼盒,2110,2,2236,0,2236,陈建国,天津市梧州县牧野马街A座 564322
81417556237977,已完成,2021-01-30 21:19:43,2021-02-01 19:03:58,借记卡,哇鸥心意优享礼盒,2102,2,1334,30,1304,孙鹏,新疆维吾尔自治区燕县吉区袁街B座 992896
81417556232543,已关闭,2021-01-21 14:43:17,2021-01-23 14:13:14,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,王博,海南省秀芳市东城陈路H座 108677
81417556233554,已完成,2021-01-21 09:54:27,2021-01-28 01:21:02,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,段东,青海省南昌县山亭潮州街a座 229328
81417556233613,已关闭,2021-01-21 13:24:36,2021-01-24 06:37:22,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,韩婷,云南省桂兰县南长黄街m座 523844
81417556234958,已完成,2021-01-28 23:35:12,2021-02-01 20:12:51,借记卡,哇鸥顺意优享礼盒,2110,3,3354,30,3324,卢琳,青海省惠州市梁平台北街V座 850895
81417556230440,已关闭,2021-01-25 00:46:34,2021-01-25 14:04:14,借记卡,哇鸥顺意优享礼盒,2110,4,4472,0,4472,梁海燕,河南省宁德市双滦曾街D座 364135
81417556234396,已关闭,2021-01-22 01:06:10,2021-01-23 10:37:48,借记卡,哇鸥顺意优享礼盒,2110,2,2236,40,2196,潘强,安徽省凤英市高坪卢街M座 235524
81417556237505,已完成,2021-01-31 02:19:20,2021-01-31 03:03:17,借记卡,哇鸥乐意优享礼盒,2101,3,1335,0,1335,卜桂兰,陕西省银川市华龙魏街U座 624113
81417556230200,已完成,2021-01-23 03:48:29,2021-01-23 18:56:40,借记卡,哇鸥顺意优享礼盒,2110,3,3354,0,3354,鞠平,上海市利市友好成街x座 419493
81417556232043,已关闭,2021-01-22 10:22:23,2021-01-26 06:29:27,借记卡,哇鸥乐意优享礼盒,2101,2,890,20,870,韩鑫,青海省兵市沙湾杨街g座 183233
81417556233609,已完成,2021-01-25 13:07:26,2021-01-27 20:31:09,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,王琴,西藏自治区桂珍县淄川郭路D座 266420
81417556236987,已完成,2021-01-23 11:27:26,2021-01-26 19:29:01,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,陈伟,黑龙江省澳门市高坪朱街I座 998735
81417556233052,已关闭,2021-01-22 07:58:40,2021-01-26 02:11:01,借记卡,哇鸥顺意优享礼盒,2110,6,6708,20,6688,吕涛,浙江省英市滨城韩路z座 258715
81417556232643,已完成,2021-01-22 18:16:54,2021-01-28 06:17:27,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,李红霞,山东省春梅县城北潮州路g座 377080
81417556232671,已关闭,2021-01-23 12:21:51,2021-01-28 13:37:32,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,覃颖,云南省佳县沙市谢路D座 624209
