订单编号,订单状态,下单时间,发货时间,支付方式,商品型号,商品编码,商品件数,商品金额,优惠金额,实付金额,收货人姓名,收货人手机,收货人地址
81417556230395,已完成,2021-01-24 10:40:24,2021-02-01 10:23:08,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,黄颖,18959833132,广东省淮安县西峰潜江街o座 910396
81417556232061,已关闭,2021-01-25 01:46:23,2021-01-28 04:38:18,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,李璐,13026142027,西藏自治区玉兰市高坪张路U座 618093
81417556230347,已完成,2021-01-29 07:37:36,2021-02-01 18:40:03,借记卡,哇鸥乐意优享礼盒,2101,1,445,20,425,徐红梅,18749529911,山西省六安县山亭银川路P座 893441
81417556232550,已完成,2021-01-23 17:44:15,2021-01-30 00:51:40,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,梁柳,18955342956,吉林省杨县大东李街i座 605852
81417556231834,已关闭,2021-01-28 18:36:31,2021-01-29 15:50:57,借记卡,哇鸥顺意优享礼盒,2110,4,4472,20,4452,李玉珍,15907464718,广东省太原县长寿重庆街x座 813737
81417556231671,已完成,2021-01-25 21:31:04,2021-01-29 04:30:30,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,张秀云,15892005017,贵州省张家港县崇文佛山路z座 531094
81417556232992,已关闭,2021-01-29 20:32:16,2021-01-29 21:25:20,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,管秀华,18150465858,西藏自治区玉梅市六枝特张家港路q座 288621
81417556231238,已完成,2021-01-22 10:48:32,2021-02-01 20:51:16,借记卡,哇鸥乐意优享礼盒,2101,3,1335,0,1335,王强,15234295433,安徽省合山市东丽海口街e座 577325
81417556230602,已完成,2021-01-27 10:27:23,2021-01-31 07:42:02,借记卡,哇鸥顺意优享礼盒,2110,2,2236,40,2196,韦桂香,18531707540,浙江省雷市海陵海口路U座 664602
81417556230573,已关闭,2021-01-21 18:08:53,2021-01-27 20:52:04,借记卡,哇鸥顺意优享礼盒,2110,3,3354,0,3354,鞠桂珍,15863829988,内蒙古自治区雷市清浦龚街t座 683158
81417556231121,已完成,2021-01-24 01:16:57,2021-01-30 07:43:03,借记卡,哇鸥乐意优享礼盒,2101,11,4895,20,4875,王玉兰,15764791472,西藏自治区玉梅市白云金街G座 594527
81417556231350,已关闭,2021-01-25 16:57:25,2021-01-29 06:48:37,借记卡,哇鸥乐意优享礼盒,2101,3,1335,40,1295,王玉兰,13078019186,广东省贵阳县金平荆门路p座 896342
81417556230530,已关闭,2021-01-21 17:48:57,2021-01-29 07:52:34,借记卡,哇鸥顺意优享礼盒,2110,4,4472,0,4472,刘秀荣,13791604693,山东省斌市牧野吴街S座 901432
